(-30, 60), 1.0,
(-10, 60), 1.0,
(-20, 50), 1.0,
(-20, 70), 1.0,
(0, 50), 1.0,
(-10, 40), 1.0,
(10, 40), 1.0,
(0, 30), 1.0,
(20, 30), 1.0,
(10, 20), 1.0,
(-10, 20), 1.0,
(0, 10), 1.0,
(-20, 10), 1.0,
(-10, 0), 1.0,
(-20, 30), 1.0,
(20, 10), 1.0,
(10, 0), 1.0,
(0, -10), 1.0,
(-30, 20), 1.0,
(-40, 30), 1.0,
(-30, 40), 1.0,
(20, 50), 1.0,
(10, 60), 1.0,
(30, 40), 1.0,
(-30, 0), 1.0,
(-20, -10), 1.0,
(-10, -20), 1.0,
(-20, 60), 1.0,
(-10, 50), 1.0,
(0, 40), 1.0,
(10, 30), 1.0,
(0, 20), 1.0,
(-10, 10), 1.0,
(-10, 30), 1.0,
(10, 10), 1.0,
(0, 0), 1.0,
(-20, 20), 1.0,
(-30, 30), 1.0,
(-20, 40), 1.0,
(10, 50), 1.0,
(20, 40), 1.0,
(-20, 0), 1.0,
(-10, -10), 1.0,
